City ,State ,"2021
Estimate ","2010
Census ",Change 
Gravataí , Rio Grande do Sul ,285564,255660,+11.70% 
Guarapari , Espírito Santo ,128504,105286,+22.05% 
Guarapuava , Paraná ,183755,167328,+9.82% 
Guaratinguetá , São Paulo ,123192,112072,+9.92% 
Guarujá , São Paulo ,324977,290752,+11.77% 
Guarulhos , São Paulo ,1404694,1221979,+14.95% 
Hortolândia , São Paulo ,237570,192692,+23.29% 
Ibirité , Minas Gerais ,184030,158954,+15.78% 
Igarassu , Pernambuco ,119690,102021,+17.32% 
Iguatu , Ceará ,103633,96495,+7.40% 
Ilhéus , Bahia ,157639,184236,−14.44% 
Imperatriz , Maranhão ,259980,247505,+5.04% 
Indaiatuba , São Paulo ,260690,201619,+29.30% 
Ipatinga , Minas Gerais ,267333,239468,+11.64% 
Itabira , Minas Gerais ,121717,109783,+10.87% 
Itaboraí , Rio de Janeiro ,244416,218008,+12.11% 
Itabuna , Bahia ,214123,204667,+4.62% 
Itacoatiara , Amazonas ,104046,86839,+19.81% 
Itaguaí , Rio de Janeiro ,136547,109091,+25.17% 
Itaituba , Pará ,101541,97493,+4.15% 
Itajaí , Santa Catarina ,226617,183373,+23.58% 
Itanhaém , São Paulo ,104351,87057,+19.87% 
Itapecerica da Serra , São Paulo ,179574,152614,+17.67% 
Itaperuna , Rio de Janeiro ,104354,95841,+8.88% 
Itapetininga , São Paulo ,167106,144377,+15.74% 
Itapevi , São Paulo ,244131,200769,+21.60% 
Itapipoca , Ceará ,131687,116065,+13.46% 
Itaquaquecetuba , São Paulo ,379082,321770,+17.81% 
Itatiba , São Paulo ,124254,101471,+22.45% 
Itu , São Paulo ,177150,154147,+14.92% 
Ituiutaba , Minas Gerais ,105818,97171,+8.90% 
Itumbiara , Goiás ,106845,92883,+15.03% 
Jaboatão dos Guararapes , Pernambuco ,711330,644620,+10.35% 
Jacareí , São Paulo ,237119,211214,+12.26% 
Jandira , São Paulo ,127734,108344,+17.90% 
Japeri , Rio de Janeiro ,106296,95492,+11.31% 
Jaraguá do Sul , Santa Catarina ,184579,143123,+28.97% 
Jataí , Goiás ,103221,88006,+17.29% 
Jaú , São Paulo ,153463,131040,+17.11% 
Jequié , Bahia ,156277,151895,+2.88% 
Ji-Paraná , Rondônia ,131026,116610,+12.36% 
João Pessoa , Paraíba ,825796,723515,+14.14% 
Joinville , Santa Catarina ,604708,515288,+17.35% 
Juazeiro , Bahia ,219544,197965,+10.90% 
Juazeiro do Norte , Ceará ,278264,249939,+11.33% 
Juiz de Fora , Minas Gerais ,577532,516247,+11.87% 
Jundiaí , São Paulo ,426935,370126,+15.35% 
Lagarto , Sergipe ,106015,94861,+11.76% 
Lages , Santa Catarina ,157158,156727,+0.28% 
Lauro de Freitas , Bahia ,204669,163449,+25.22% 
Lavras , Minas Gerais ,105756,92200,+14.70% 
Leme , São Paulo ,105273,91756,+14.73% 
Limeira , São Paulo ,310783,276022,+12.59% 
Linhares , Espírito Santo ,179755,141306,+27.21% 
Londrina , Paraná ,580870,506701,+14.64% 
Luziânia , Goiás ,214645,174531,+22.98% 
Macaé , Rio de Janeiro ,266136,206728,+28.74% 
Macapá , Amapá ,522357,398204,+31.18% 
Maceió , Alagoas ,1031597,932748,+10.60% 
Magé , Rio de Janeiro ,247741,227322,+8.98% 
Mairiporã , São Paulo ,103645,80956,+28.03% 
Manaus , Amazonas ,2255903,1802014,+25.19% 
Marabá , Pará ,287664,233669,+23.11% 
Maracanaú , Ceará ,230986,209057,+10.49% 
Maranguape , Ceará ,131677,113561,+15.95% 
Maricá , Rio de Janeiro ,167668,127461,+31.54% 
Marília , São Paulo ,242249,216745,+11.77% 
Maringá , Paraná ,436472,357077,+22.23% 
Marituba , Pará ,135812,108246,+25.47% 
Mauá , São Paulo ,481725,417064,+15.50% 
Mesquita , Rio de Janeiro ,177016,168376,+5.13% 
Mogi das Cruzes , São Paulo ,455587,387779,+17.49% 
Mogi Guaçu , São Paulo ,154146,137245,+12.31% 
Montes Claros , Minas Gerais ,417478,361915,+15.35% 
Mossoró , Rio Grande do Norte ,303792,259815,+16.93% 
Muriaé , Minas Gerais ,109997,100765,+9.16% 
Natal , Rio Grande do Norte ,896708,803739,+11.57% 
Nilópolis , Rio de Janeiro ,162893,157425,+3.47% 
Niterói , Rio de Janeiro ,516981,487562,+6.03% 
Nossa Senhora do Socorro , Sergipe ,187733,160827,+16.73% 
Nova Friburgo , Rio de Janeiro ,191664,182082,+5.26% 
Nova Iguaçu , Rio de Janeiro ,825388,796257,+3.66% 
Nova Serrana , Minas Gerais ,108241,73699,+46.87% 
Novo Gama , Goiás ,119649,95018,+25.92% 
Novo Hamburgo , Rio Grande do Sul ,247303,238940,+3.50% 
Olinda , Pernambuco ,393734,377779,+4.22% 
Osasco , São Paulo ,701428,666740,+5.20% 
Ourinhos , São Paulo ,115139,103035,+11.75% 
Paço do Lumiar , Maranhão ,125265,105121,+19.16% 
Palhoça , Santa Catarina ,178679,137334,+30.11% 
Palmas , Tocantins ,313349,228332,+37.23% 
Paragominas , Pará ,115838,97819,+18.42% 
Paranaguá , Paraná ,157378,140469,+12.04% 
Parauapebas , Pará ,218787,153908,+42.15% 
Parintins , Amazonas ,116439,102033,+14.12% 
Parnaíba , Piauí ,153863,145705,+5.60% 
Parnamirim , Rio Grande do Norte ,272490,202456,+34.59% 
Passo Fundo , Rio Grande do Sul ,206103,184826,+11.51% 
Passos , Minas Gerais ,115970,106290,+9.11% 
Patos , Paraíba ,108766,100674,+8.04% 
Patos de Minas , Minas Gerais ,154641,138710,+11.49% 
Paulínia , São Paulo ,114508,82146,+39.40% 
Paulista , Pernambuco ,336919,300466,+12.13% 
Paulo Afonso , Bahia ,119213,108396,+9.98% 
Pelotas , Rio Grande do Sul ,343826,328275,+4.74% 
Petrolina , Pernambuco ,359372,293962,+22.25% 
Petrópolis , Rio de Janeiro ,307144,295917,+3.79% 
Pindamonhangaba , São Paulo ,171885,146995,+16.93% 
Pinhais , Paraná ,134788,117008,+15.20% 
Piracicaba , São Paulo ,410275,364571,+12.54% 
Piraquara , Paraná ,116852,93207,+25.37% 
Poá , São Paulo ,119221,106013,+12.46% 
Poços de Caldas , Minas Gerais ,169838,152435,+11.42% 
Ponta Grossa , Paraná ,358838,311611,+15.16% 
Porto Alegre , Rio Grande do Sul ,1492530,1409351,+5.90% 
Porto Seguro , Bahia ,152529,126929,+20.17% 
Porto Velho , Rondônia ,548952,428527,+28.10% 
Pouso Alegre , Minas Gerais ,154293,130615,+18.13% 
Praia Grande , São Paulo ,336454,262051,+28.39% 
Presidente Prudente , São Paulo ,231953,207610,+11.73% 
Queimados , Rio de Janeiro ,152311,137962,+10.40% 
Recife , Pernambuco ,1661017,1537704,+8.02% 
Resende , Rio de Janeiro ,133244,119769,+11.25% 
Ribeirão das Neves , Minas Gerais ,341415,296317,+15.22% 
Ribeirão Pires , São Paulo ,125238,113068,+10.76% 
Ribeirão Preto , São Paulo ,720116,604682,+19.09% 
Rio Branco , Acre ,419452,336038,+24.82% 
Rio Claro , São Paulo ,209548,186253,+12.51% 
Rio das Ostras , Rio de Janeiro ,159529,105676,+50.96% 
Rio de Janeiro , Rio de Janeiro ,6775561,6320446,+7.20% 
Rio Grande , Rio Grande do Sul ,212881,197228,+7.94% 
Rio Verde , Goiás ,247259,176424,+40.15% 
Rondonópolis , Mato Grosso ,239613,195476,+22.58% 
Sabará , Minas Gerais ,137877,126269,+9.19% 
Salto , São Paulo ,120779,105516,+14.47% 
Salvador , Bahia ,2900319,2675656,+8.40% 
Santa Bárbara d'Oeste , São Paulo ,195278,180009,+8.48% 
Santa Cruz do Capibaribe , Pernambuco ,111812,87582,+27.67% 
Santa Cruz do Sul , Rio Grande do Sul ,132271,118374,+11.74% 
Santa Luzia , Minas Gerais ,221705,202942,+9.25% 
Santa Maria , Rio Grande do Sul ,285159,261031,+9.24% 
Santa Rita , Paraíba ,138093,120310,+14.78% 
Santana , Amapá ,124808,101262,+23.25% 
Santana de Parnaíba , São Paulo ,145073,108813,+33.32% 
Santarém , Pará ,308339,294580,+4.67% 
Santo André , São Paulo ,723889,676407,+7.02% 
Santo Antônio de Jesus , Bahia ,103204,90985,+13.43% 
Santos , São Paulo ,433991,419400,+3.48% 
São Bernardo do Campo , São Paulo ,849874,765463,+11.03% 
São Caetano do Sul , São Paulo ,162763,149263,+9.04% 
São Carlos , São Paulo ,256915,221950,+15.75% 
São Félix do Xingu , Pará ,135732,91340,+48.60% 
São Gonçalo , Rio de Janeiro ,1098357,999728,+9.87% 
São Gonçalo do Amarante , Rio Grande do Norte ,104919,87668,+19.68% 
São João de Meriti , Rio de Janeiro ,473385,458673,+3.21% 
São José , Santa Catarina ,253705,209804,+20.92% 
São José de Ribamar , Maranhão ,180345,163045,+10.61% 
São José do Rio Preto , São Paulo ,469173,408258,+14.92% 
São José dos Campos , São Paulo ,737310,629921,+17.05% 
São José dos Pinhais , Paraná ,334620,264210,+26.65% 
São Leopoldo , Rio Grande do Sul ,240378,214087,+12.28% 
São Lourenço da Mata , Pernambuco ,114910,102895,+11.68% 
São Luís , Maranhão ,1115932,1014837,+9.96% 
São Mateus , Espírito Santo ,134629,109028,+23.48% 
São Paulo , São Paulo ,12396372,11253503,+10.16% 
São Pedro da Aldeia , Rio de Janeiro ,107556,87875,+22.40% 
São Vicente , São Paulo ,370839,332445,+11.55% 
Sapucaia do Sul , Rio Grande do Sul ,142508,130957,+8.82% 
Senador Canedo , Goiás ,121447,84443,+43.82% 
Serra , Espírito Santo ,536765,409267,+31.15% 
Sertãozinho , São Paulo ,128432,110074,+16.68% 
Sete Lagoas , Minas Gerais ,243950,214152,+13.91% 
Simões Filho , Bahia ,137117,118047,+16.15% 
Sinop , Mato Grosso ,148960,113099,+31.71% 
Sobral , Ceará ,212437,188233,+12.86% 
Sorocaba , São Paulo ,695328,586625,+18.53% 
Sumaré , São Paulo ,289875,241311,+20.13% 
Suzano , São Paulo ,303397,262480,+15.59% 
Taboão da Serra , São Paulo ,297528,244528,+21.67% 
Tailândia , Pará ,111554,79297,+40.68% 
Tangará da Serra , Mato Grosso ,107631,83431,+29.01% 
Tatuí , São Paulo ,124134,107326,+15.66% 
Taubaté , São Paulo ,320820,278686,+15.12% 
Teixeira de Freitas , Bahia ,164290,138341,+18.76% 
Teófilo Otoni , Minas Gerais ,141269,134745,+4.84% 
Teresina , Piauí ,871126,814230,+6.99% 
Teresópolis , Rio de Janeiro ,185820,163746,+13.48% 
Timon , Maranhão ,171317,155460,+10.20% 
Toledo , Paraná ,144601,119313,+21.19% 
Três Lagoas , Mato Grosso do Sul ,125137,101791,+22.94% 
Trindade , Goiás ,132006,104488,+26.34% 
Tubarão , Santa Catarina ,107143,97235,+10.19% 
Tucuruí , Pará ,116605,97128,+20.05% 
Ubá , Minas Gerais ,117995,101519,+16.23% 
Uberaba , Minas Gerais ,340277,295988,+14.96% 
Uberlândia , Minas Gerais ,706597,604013,+16.98% 
Umuarama , Paraná ,113416,100676,+12.65% 
Uruguaiana , Rio Grande do Sul ,126766,125435,+1.06% 
Valinhos , São Paulo ,133169,106793,+24.70% 
Valparaíso de Goiás , Goiás ,175720,132982,+32.14% 
Varginha , Minas Gerais ,137608,123081,+11.80% 
Várzea Grande , Mato Grosso ,290383,252596,+14.96% 
Várzea Paulista , São Paulo ,124269,107089,+16.04% 
Vespasiano , Minas Gerais ,131849,104527,+26.14% 
Viamão , Rio Grande do Sul ,257330,239384,+7.50% 
Vila Velha , Espírito Santo ,508655,414586,+22.69% 
Vilhena , Rondônia ,104517,76202,+37.16% 
Vitória , Espírito Santo ,369534,327801,+12.73% 
Vitória da Conquista , Bahia ,343643,306866,+11.98% 
Vitória de Santo Antão , Pernambuco ,140389,129974,+8.01% 
Volta Redonda , Rio de Janeiro ,274925,257803,+6.64% 
Votorantim , São Paulo ,124468,108809,+14.39%
